"","site","round","sample_pt","sample_id","year","barcode_id","active_flower","pre_id","final_id","notes","plate","well","microcentrifuge","pollen","natalia_pollen","gut_plate","subsite","lat","long"
"303","HR",8,"HR23","8_HR23",2022,"HR8_23_04","SANE","B. impatiens","B. impatiens","","impatiens_DNA_08","F11","y","n","","bcparasite04_A10","harvieroad4","49.1518644","-122.70223"
"304","NR",7,"NR14A","7_NR14A",2022,"NR7_14A_02","TRHY","B. impatiens","B. impatiens","","impatiens_DNA_08","G5","y","y","","bcparasite04_A12","nicomekl4","49.0803908","-122.7595179"
"305","HR",8,"HR07A","8_HR07A",2022,"HR8_07A_07","IMGL","B. impatiens","B. impatiens","","impatiens_DNA_08","E1","y","n","","bcparasite04_A2","harvieroad3","49.1534589","-122.7224307"
"306","HR",4,"HR07","4_HR07",2022,"HR4_07_02","SYAL","B. mixtus","B. mixtus","","mixtus_DNA_01","A12","y","n","","bcparasite04_A3","harvieroad3","49.1534587","-122.7244539"
"307","NR",9,"NR12","9_NR12",2022,"NR9_12_02","LIVU","B. impatiens","B. impatiens","","impatiens_DNA_08","E7","y","y","","bcparasite04_A4","nicomekl4","49.0789431","-122.7640991"
"308","HR",3,"HR12","3_HR12",2022,"HR3_12_06","VICR","B. flavifrons","B. mixtus","","mixtus_DNA_08","G4","y","n","","bcparasite04_A5","harvieroad2","49.1590772","-122.7236265"
"309","HR",7,"HR12C","7_HR12C",2022,"HR7_12C_05","CASI","B. impatiens","B. impatiens","","impatiens_DNA_08","F1","y","n","","bcparasite04_A6","harvieroad2","49.1604103","-122.7221135"
"310","PM",1,"PM07","1_PM07",2022,"PM1_07_01","CRMO","B. mixtus","B. mixtus","","mixtus_DNA_02","B2","y","n","","bcparasite04_A7","pittmeadows2","49.252674","-122.666841"
"311","HR",10,"HR07A","10_HR07A",2022,"HR10_07A_02","SOAR","B. impatiens","B. impatiens","","impatiens_DNA_08","F7","y","y","","bcparasite04_A8","harvieroad3","49.1534589","-122.7224307"
"312","SD",8,"SD39","8_SD39",2022,"SD8_39_06","PHTA","B. mixtus","B. mixtus","","mixtus_DNA_02","G4","y","y","","bcparasite04_A9","southdelta2","49.0682854","-123.0740915"
"313","HR",3,"HR32","3_HR32",2022,"HR3_32_22","SYOF","B. flavifrons","B. flavifrons","","","","y","y","","bcparasite04_B1","harvieroad3","49.147953","-122.7201041"
"314","ED",5,"ED27","5_ED27",2022,"ED5_27_08","VICR","B. impatiens","B. impatiens","","impatiens_DNA_08","F12","y","n","","bcparasite04_B10","eastdelta1","49.1002059","-122.9312067"
"315","W",4,"W30","4_W30",2022,"W4_30_02","RONU","B. flavifrons","B. flavifrons","","","","y","y","","bcparasite04_B11","westham2","49.0955023","-123.1490957"
"316","NR",3,"NR29","3_NR29",2022,"NR3_29_03","RUAR","B. impatiens","B. impatiens","","impatiens_DNA_08","G6","y","y","","bcparasite04_B12","nicomekl4","49.0749252","-122.7620714"
"317","W",7,"W25","7_W25",2022,"W7_25_01","TRRE","B. impatiens","B. impatiens","","impatiens_DNA_08","E2","y","y","","bcparasite04_B2","westham2","49.09466","-123.15417"
"318","W",9,"W22A","9_W22A",2022,"W9_22A_03","LYSA","B. mixtus","B. mixtus","","mixtus_DNA_05","B11","y","n","","bcparasite04_B3","westham1","49.0934507","-123.1427829"
"319","ED",6,"ED09","6_ED09",2022,"ED6_09_05","TRRE","B. impatiens","B. impatiens","","impatiens_DNA_08","E8","y","n","","bcparasite04_B4","eastdelta2","49.1028941","-122.9571922"
"320","PM",6,"PM65","6_PM65",2022,"PM6_65_02","CHAN","B. mixtus","B. mixtus","","mixtus_DNA_03","F11","y","n","","bcparasite04_B5","pittmeadows2","49.2547515","-122.6556663"
